INFO  2015-03-23 10:36:37,091   102ms Logger                 Application_Start  - Startting MVC
DEBUG 2015-03-23 11:05:02,900 1705911ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:05:32,913 1735924ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:06:02,926 1765937ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:06:32,939 1795950ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:07:02,951 1825962ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:07:32,964 1855975ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:08:02,977 1885988ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:08:32,990 1916001ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:09:03,003 1946014ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:09:33,016 1976027ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:10:03,029 2006040ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:10:33,042 2036053ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:11:03,054 2066065ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:11:33,067 2096078ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:12:03,080 2126091ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:12:33,093 2156104ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:13:03,106 2186117ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:13:33,119 2216130ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:14:03,132 2246143ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:14:33,145 2276156ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:15:03,157 2306168ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:15:33,171 2336182ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:16:03,183 2366194ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:16:33,196 2396207ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:17:03,209 2426220ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:17:33,223 2456234ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:18:03,235 2486246ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:18:33,248 2516259ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:19:03,260 2546271ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:19:33,273 2576284ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:20:03,286 2606297ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:20:33,299 2636310ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:21:03,312 2666323ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:21:33,325 2696336ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:22:03,338 2726349ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:22:33,351 2756362ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:23:03,363 2786374ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:23:33,376 2816387ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:24:03,392 2846402ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:24:33,411 2876421ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:25:03,430 2906440ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:25:33,449 2936459ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:26:03,468 2966478ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:26:33,487 2996497ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:27:03,505 3026515ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:27:33,524 3056534ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:28:03,543 3086553ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:28:33,563 3116573ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:29:03,580 3146590ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:29:33,596 3176606ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:30:03,612 3206622ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:30:33,628 3236638ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:31:03,643 3266653ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:31:33,659 3296669ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:32:03,675 3326685ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:32:33,691 3356701ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:33:03,707 3386717ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:33:33,723 3416733ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:34:03,739 3446749ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:34:33,755 3476765ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:35:03,770 3506780ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:35:33,786 3536796ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:36:03,802 3566812ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:36:33,818 3596828ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:37:03,834 3626844ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:37:33,850 3656860ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:38:03,866 3686876ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 11:38:33,882 3716892ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 11:39:03,897 3746907ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
INFO  2015-03-30 23:02:49,923   151ms Logger                 Application_Start  - Startting MVC
INFO  2015-03-30 23:06:26,161   758ms Logger                 Application_Start  - Startting MVC
INFO  2015-03-30 23:10:31,282   931ms Logger                 Application_Start  - Startting MVC
INFO  2015-03-30 23:21:21,505   670ms Logger                 Application_Start  - Startting MVC
INFO  2015-03-30 23:25:55,146   343ms Logger                 Application_Start  - Startting MVC
INFO  2015-03-31 20:36:25,587   128ms Logger                 Application_Start  - Startting MVC
INFO  2015-03-31 20:38:59,074   753ms Logger                 Application_Start  - Startting MVC
DEBUG 2015-03-31 20:39:39,016 40694ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 12 operations
DEBUG 2015-03-31 20:40:09,021 70700ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 20:40:39,036 100714ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 20:41:09,054 130732ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 20:41:39,070 160748ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 20:42:09,080 190758ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 20:42:39,100 220778ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
